,Artist,Position,Streams,Track Name,Week,acousticness,album,artist_top_genre,danceability,energy,instrumentalness,length,liveness,loudness,popularity,release_date,speechiness,tempo,time_signature
0,Tones And I,1.0,4318581.0,Dance Monkey,2019-10-11--2019-10-18,0.688,Dance Monkey,australian pop,0.825,0.593,0.000161,209754.0,0.17,-6.401,70.0,2019-05-10,0.0988,98.078,4.0
1,Regard,2.0,2732732.0,Ride It,2019-10-11--2019-10-18,0.177,Ride It,edm,0.88,0.751,6.43e-05,157605.0,0.106,-4.258,87.0,2019-07-26,0.0874,117.948,4.0
2,Travis Scott,3.0,2324012.0,HIGHEST IN THE ROOM,2019-10-11--2019-10-18,0.0546,HIGHEST IN THE ROOM,rap,0.598,0.427,5.83e-06,175720.0,0.21,-8.764,88.0,2019-10-04,0.0317,76.469,4.0
3,Post Malone,4.0,2249604.0,Circles,2019-10-11--2019-10-18,0.192,Hollywood's Bleeding,dfw rap,0.695,0.762,0.00244,215280.0,0.0863,-3.497,89.0,2019-09-06,0.0395,120.042,4.0
4,Aitch,5.0,2123049.0,Taste (Make It Shake),2019-10-11--2019-10-18,0.277,AitcH2O,manchester hip hop,0.761,0.442,0.0,213680.0,0.125,-12.872,66.0,2019-09-06,0.383,97.753,3.0
5,Joel Corry,6.0,2074685.0,Sorry,2019-10-11--2019-10-18,0.0547,Sorry,dance pop,0.744,0.79,0.000802,188640.0,0.32,-4.617,71.0,2019-04-05,0.0562,125.002,4.0
6,Harry Styles,7.0,2050140.0,Lights Up,2019-10-11--2019-10-18,0.0426,Lights Up,pop,0.585,0.62,0.00224,172226.0,0.15,-8.09,9.0,2019-10-11,0.0327,101.939,4.0
7,Young T & Bugsey,8.0,2023999.0,Strike a Pose (feat. Aitch),2019-10-11--2019-10-18,0.0107,Strike a Pose (feat. Aitch),afroswing,0.531,0.581,1.62e-05,214203.0,0.101,-5.801,66.0,2019-06-06,0.101,137.776,5.0
8,Lewis Capaldi,9.0,1940306.0,Someone You Loved,2019-10-11--2019-10-18,0.751,Divinely Uninspired To A Hellish Extent,pop,0.501,0.405,0.0,182160.0,0.105,-5.679,90.0,2019-05-17,0.0319,109.891,4.0
9,AJ Tracey,10.0,1866107.0,Ladbroke Grove,2019-10-11--2019-10-18,0.0939,AJ Tracey,grime,0.903,0.839,0.0,190537.0,0.102,-9.447,73.0,2019-02-08,0.208,133.986,4.0
10,Jorja Smith,11.0,1809923.0,Be Honest (feat. Burna Boy),2019-10-11--2019-10-18,0.311,Be Honest (feat. Burna Boy),pop,0.757,0.737,0.0,207030.0,0.113,-6.728,74.0,2019-08-16,0.114,98.057,4.0
11,Dermot Kennedy,12.0,1797459.0,Outnumbered,2019-10-11--2019-10-18,0.247,Without Fear,folk-pop,0.614,0.684,0.0,245699.0,0.0976,-5.79,68.0,2019-10-04,0.157,156.85,4.0
12,Dominic Fike,13.0,1789815.0,3 Nights,2019-10-11--2019-10-18,0.223,"Don't Forget About Me, Demos",alternative pop rock,0.815,0.518,0.0,177666.0,0.104,-6.594,80.0,2018-10-16,0.0897,151.891,4.0
13,Ed Sheeran,14.0,1683434.0,South of the Border (feat. Camila Cabello & Cardi B),2019-10-11--2019-10-18,0.148,No.6 Collaborations Project,pop,0.857,0.621,0.0,204466.0,0.0865,-6.376,81.0,2019-07-12,0.0825,97.989,4.0
14,Kygo,15.0,1646774.0,Higher Love,2019-10-11--2019-10-18,0.0154,Higher Love,edm,0.693,0.678,6.05e-06,228267.0,0.101,-7.159,83.0,2019-06-28,0.0324,103.952,4.0
15,Sam Feldt,16.0,1600346.0,Post Malone (feat. RANI),2019-10-11--2019-10-18,0.0771,Post Malone (feat. RANI) [Joe Stone Remix],dance pop,0.59,0.642,0.0,174444.0,0.105,-3.87,74.0,2019-08-16,0.122,107.356,4.0
16,Lil Tecca,17.0,1553336.0,Ransom,2019-10-11--2019-10-18,0.0204,We Love You Tecca,melodic rap,0.745,0.642,0.0,131240.0,0.0658,-6.257,83.0,2019-08-30,0.287,179.974,4.0
17,Dave,18.0,1512600.0,Professor X,2019-10-11--2019-10-18,0.11,Professor X,uk hip hop,0.891,0.675,0.0,217704.0,0.275,-6.892,69.0,2019-09-13,0.152,127.012,4.0
18,Sam Smith,19.0,1466884.0,How Do You Sleep?,2019-10-11--2019-10-18,0.153,How Do You Sleep?,pop,0.477,0.682,0.0,202204.0,0.0763,-4.931,83.0,2019-07-19,0.0925,110.567,5.0
19,Ed Sheeran,20.0,1458778.0,Beautiful People (feat. Khalid),2019-10-11--2019-10-18,0.124,No.6 Collaborations Project,pop,0.64,0.647,0.0,197866.0,0.0801,-8.114,77.0,2019-07-12,0.186,92.979,4.0
20,Aitch,21.0,1429612.0,Buss Down (feat. ZieZie),2019-10-11--2019-10-18,0.109,AitcH2O,manchester hip hop,0.795,0.779,1.44e-05,211786.0,0.0836,-5.413,63.0,2019-09-06,0.177,95.045,4.0
21,Ed Sheeran,22.0,1413070.0,Take Me Back to London (feat. Stormzy),2019-10-11--2019-10-18,0.219,No.6 Collaborations Project,pop,0.885,0.762,0.0,189733.0,0.162,-5.513,71.0,2019-07-12,0.216,138.058,4.0
22,Shawn Mendes,23.0,1379247.0,Señorita,2019-10-11--2019-10-18,0.0392,Shawn Mendes (Deluxe),canadian pop,0.759,0.548,0.0,190799.0,0.0828,-6.049,82.0,2019-06-19,0.029,116.967,4.0
23,Headie One,24.0,1320609.0,Both,2019-10-11--2019-10-18,0.565,Music x Road,uk hip hop,0.751,0.674,0.000266,213586.0,0.114,-7.101,68.0,2019-08-23,0.212,145.808,4.0
24,Lewis Capaldi,25.0,1272450.0,Bruises,2019-10-11--2019-10-18,0.946,Divinely Uninspired To A Hellish Extent,pop,0.736,0.308,0.0,220492.0,0.186,-7.83,84.0,2019-05-17,0.0677,111.202,4.0
25,Lil Nas X,26.0,1198265.0,Panini,2019-10-11--2019-10-18,0.342,Panini,country rap,0.703,0.594,0.0,114893.0,0.123,-6.146,74.0,2019-09-13,0.0752,153.848,4.0
26,Dave,27.0,1173804.0,Location (feat. Burna Boy),2019-10-11--2019-10-18,0.271,PSYCHODRAMA,uk hip hop,0.812,0.496,0.0,241293.0,0.0955,-5.969,76.0,2019-03-08,0.297,109.979,4.0
27,Ed Sheeran,28.0,1160989.0,I Don't Care (with Justin Bieber),2019-10-11--2019-10-18,0.0902,No.6 Collaborations Project,pop,0.798,0.676,0.0,219946.0,0.0894,-5.041,79.0,2019-07-12,0.0442,101.956,4.0
28,Lauv,29.0,1139231.0,"fuck, i'm lonely",2019-10-11--2019-10-18,0.482,"fuck, i'm lonely",pop,0.806,0.558,0.0,198973.0,0.0618,-6.46,13.0,2019-08-02,0.0683,95.016,4.0
29,Dan + Shay,30.0,1105751.0,"10,000 Hours (with Justin Bieber)",2019-10-11--2019-10-18,0.153,"10,000 Hours (with Justin Bieber)",contemporary country,0.654,0.63,0.0,167693.0,0.111,-4.644,85.0,2019-10-04,0.0259,89.991,4.0
30,Normani,31.0,1102920.0,Motivation,2019-10-11--2019-10-18,0.0192,Motivation,dance pop,0.599,0.887,1.21e-06,193837.0,0.3,-3.967,76.0,2019-08-16,0.0984,170.918,4.0
31,MIST,32.0,1077573.0,So High (feat. Fredo),2019-10-11--2019-10-18,0.00612,So High (feat. Fredo),birmingham grime,0.866,0.714,1.88e-05,163142.0,0.0787,-6.107,67.0,2019-07-04,0.22,108.005,4.0
32,Maroon 5,33.0,1075016.0,Memories,2019-10-11--2019-10-18,0.837,Memories,pop,0.764,0.32,0.0,189486.0,0.0822,-7.209,89.0,2019-09-20,0.0546,91.019,4.0
33,Ariana Grande,34.0,1074694.0,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),2019-10-11--2019-10-18,0.00268,Don’t Call Me Angel (Charlie’s Angels),dance pop,0.643,0.721,6.51e-06,190106.0,0.0898,-5.248,7.0,2019-09-13,0.0449,102.914,4.0
34,blackbear,35.0,1073937.0,hot girl bummer,2019-10-11--2019-10-18,0.128,hot girl bummer,pop,0.778,0.559,0.0,185093.0,0.399,-7.109,65.0,2019-08-23,0.0776,129.989,1.0
35,Y2K,36.0,1050642.0,Lalala,2019-10-11--2019-10-18,0.181,Lalala,pop rap,0.843,0.391,0.0,160626.0,0.137,-7.899,82.0,2019-06-28,0.0845,129.972,4.0
36,Sidhu Moose Wala,37.0,1046012.0,47 (feat. Stefflon Don),2019-10-11--2019-10-18,0.0756,47 (feat. Stefflon Don),desi hip hop,0.542,0.635,7.54e-06,194250.0,0.372,-7.768,54.0,2019-10-10,0.309,93.42,4.0
37,Post Malone,38.0,1040132.0,Goodbyes (Feat. Young Thug),2019-10-11--2019-10-18,0.447,Goodbyes (Feat. Young Thug),dfw rap,0.58,0.653,0.0,174960.0,0.111,-3.818,13.0,2019-07-05,0.0745,150.231,4.0
38,Camila Cabello,39.0,1027330.0,Liar,2019-10-11--2019-10-18,0.0169,Liar,dance pop,0.74,0.498,0.00282,207038.0,0.319,-6.684,75.0,2019-09-04,0.0456,98.016,4.0
39,Billie Eilish,40.0,1025860.0,bad guy,2019-10-11--2019-10-18,0.328,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",electropop,0.701,0.425,0.13,194087.0,0.1,-10.965,88.0,2019-03-29,0.375,135.128,4.0
40,Stormzy,41.0,1021105.0,Vossi Bop,2019-10-11--2019-10-18,0.13,Vossi Bop,grime,0.682,0.653,0.00116,196266.0,0.129,-6.062,71.0,2019-04-26,0.339,188.115,4.0
41,Lizzo,42.0,1008652.0,Good as Hell,2019-10-11--2019-10-18,0.256,Good as Hell,dance pop,0.682,0.919,0.0,159735.0,0.442,-3.18,69.0,2016-03-09,0.0875,95.982,4.0
42,Halsey,43.0,1001324.0,Graveyard,2019-10-11--2019-10-18,0.231,Graveyard,dance pop,0.667,0.583,4.48e-05,181805.0,0.181,-5.127,12.0,2019-09-13,0.0747,92.043,4.0
43,Lizzo,44.0,996255.0,Truth Hurts,2019-10-11--2019-10-18,0.11,Cuz I Love You (Deluxe),dance pop,0.715,0.624,0.0,173325.0,0.123,-3.046,71.0,2019-05-03,0.114,158.087,4.0
44,Tiësto,45.0,971043.0,God Is A Dancer (with Mabel),2019-10-11--2019-10-18,0.0241,God Is A Dancer (with Mabel),big room,0.774,0.747,6.11e-06,168125.0,0.342,-3.908,74.0,2019-09-20,0.082,119.964,4.0
45,Mabel,46.0,967625.0,Mad Love,2019-10-11--2019-10-18,0.667,High Expectations,dance pop,0.622,0.796,0.0,169813.0,0.106,-2.999,7.0,2019-08-02,0.172,197.705,4.0
46,Post Malone,47.0,954656.0,Sunflower - Spider-Man: Into the Spider-Verse,2019-10-11--2019-10-18,0.533,Hollywood's Bleeding,dfw rap,0.755,0.522,0.0,157560.0,0.0685,-4.368,82.0,2019-09-06,0.0575,89.96,4.0
47,Lewis Capaldi,48.0,945472.0,Hold Me While You Wait,2019-10-11--2019-10-18,0.443,Divinely Uninspired To A Hellish Extent,pop,0.688,0.53,0.0,205686.0,0.0995,-5.507,82.0,2019-05-17,0.0333,106.958,4.0
48,Post Malone,49.0,945445.0,Take What You Want (feat. Ozzy Osbourne & Travis Scott),2019-10-11--2019-10-18,0.0906,Hollywood's Bleeding,dfw rap,0.499,0.8,0.0,229573.0,0.147,-2.665,79.0,2019-09-06,0.0502,139.919,4.0
49,Riton,50.0,907804.0,Turn Me On (feat. Vula),2019-10-11--2019-10-18,0.0149,Turn Me On (feat. Vula),house,0.737,0.828,0.000583,208473.0,0.0862,-4.711,78.0,2019-09-13,0.0396,124.052,4.0
50,Chris Brown,51.0,843218.0,No Guidance (feat. Drake),2019-10-11--2019-10-18,0.123,Indigo,dance pop,0.698,0.454,0.0,260640.0,0.155,-6.756,84.0,2019-06-28,0.151,92.932,4.0
51,Juice WRLD,52.0,813792.0,Bandit (with YoungBoy Never Broke Again),2019-10-11--2019-10-18,0.0687,Bandit (with YoungBoy Never Broke Again),chicago rap,0.474,0.631,0.0,189322.0,0.132,-5.884,84.0,2019-10-04,0.343,180.051,4.0
52,MEDUZA,53.0,809636.0,Piece Of Your Heart,2019-10-11--2019-10-18,0.0404,Piece Of Your Heart,brazilian edm,0.677,0.744,0.00016,152913.0,0.074,-6.806,82.0,2019-02-01,0.0295,124.08,4.0
53,MEDUZA,54.0,737865.0,Lose Control,2019-10-11--2019-10-18,0.129,Lose Control,brazilian edm,0.598,0.526,0.0,168387.0,0.14,-8.659,85.0,2019-10-11,0.0415,123.935,4.0
54,Post Malone,55.0,719570.0,Saint-Tropez,2019-10-11--2019-10-18,0.0545,Hollywood's Bleeding,dfw rap,0.617,0.684,0.0,150866.0,0.104,-3.618,77.0,2019-09-06,0.0439,132.113,4.0
55,Russ Millions,56.0,719005.0,Keisha & Becky - Remix,2019-10-11--2019-10-18,0.251,Keisha & Becky (Remix),uk hip hop,0.863,0.471,0.0,252906.0,0.121,-9.545,70.0,2019-04-11,0.478,140.969,4.0
56,Ariana Grande,57.0,718990.0,boyfriend (with Social House),2019-10-11--2019-10-18,0.119,boyfriend,dance pop,0.4,0.795,0.0,186106.0,0.159,-3.731,79.0,2019-08-02,0.461,190.097,4.0
57,D-Block Europe,58.0,715704.0,Home P*ssy,2019-10-11--2019-10-18,0.0316,PTSD,uk hip hop,0.633,0.57,0.0,205333.0,0.0695,-7.581,62.0,2019-09-27,0.333,179.941,4.0
58,Stormzy,59.0,698565.0,Wiley Flow,2019-10-11--2019-10-18,0.241,Wiley Flow,grime,0.716,0.68,0.0,207365.0,0.202,-4.721,58.0,2019-09-15,0.309,140.417,4.0
59,Dave,60.0,692496.0,Thiago Silva,2019-10-11--2019-10-18,0.0641,Thiago Silva,uk hip hop,0.667,0.673,4e-06,201963.0,0.0975,-7.574,70.0,2016-05-13,0.323,144.256,4.0
60,French Montana,61.0,686735.0,Writing on the Wall (feat. Post Malone & Cardi B),2019-10-11--2019-10-18,0.283,Writing on the Wall (feat. Post Malone & Cardi B),hip hop,0.773,0.836,2.1e-05,201270.0,0.0828,-2.326,65.0,2019-09-27,0.153,112.01,4.0
61,D-Block Europe,62.0,662297.0,Outside,2019-10-11--2019-10-18,0.543,PTSD,uk hip hop,0.592,0.483,0.0,296770.0,0.0804,-9.086,58.0,2019-09-27,0.43,110.153,4.0
62,D-Block Europe,63.0,659389.0,Nookie,2019-10-11--2019-10-18,0.567,PTSD,uk hip hop,0.859,0.609,0.0,199500.0,0.0935,-5.735,50.0,2019-09-27,0.418,120.048,4.0
63,Lil Nas X,64.0,659089.0,Old Town Road - Remix,2019-10-11--2019-10-18,0.0533,7 EP,country rap,0.878,0.619,0.0,157066.0,0.113,-5.56,83.0,2019-06-21,0.102,136.041,4.0
64,Drake,65.0,657438.0,Money In The Grave (Drake ft. Rick Ross),2019-10-11--2019-10-18,0.101,The Best In The World Pack,canadian hip hop,0.831,0.502,0.0,205426.0,0.122,-4.045,82.0,2019-06-15,0.046,100.541,4.0
65,D-Block Europe,66.0,623639.0,Playing For Keeps,2019-10-11--2019-10-18,0.16,PTSD,uk hip hop,0.885,0.508,0.0,203604.0,0.106,-6.921,54.0,2019-09-27,0.349,137.96,4.0
66,Jax Jones,67.0,618509.0,This Is Real (ft. Ella Henderson),2019-10-11--2019-10-18,0.0259,Snacks (Supersize),dance pop,0.684,0.819,0.0775,199160.0,0.0985,-5.072,70.0,2019-09-06,0.0413,122.008,4.0
67,Poundz,68.0,618058.0,Opp Thot,2019-10-11--2019-10-18,0.351,Opp Thot,uk hip hop,0.895,0.778,7.67e-05,196153.0,0.0934,-6.4,63.0,2019-10-11,0.184,141.984,4.0
68,Niall Horan,69.0,615792.0,Nice To Meet Ya,2019-10-11--2019-10-18,0.0119,Nice To Meet Ya,dance pop,0.591,0.841,0.0,158805.0,0.395,-4.351,76.0,2019-10-04,0.0304,109.034,4.0
69,Sigala,70.0,612808.0,Wish You Well,2019-10-11--2019-10-18,0.128,Wish You Well,dance pop,0.669,0.895,0.0,205653.0,0.297,-3.787,70.0,2019-05-24,0.0575,124.975,4.0
70,The Killers,71.0,603070.0,Mr. Brightside,2019-10-11--2019-10-18,0.00113,Hot Fuss,modern rock,0.352,0.928,0.0,222106.0,0.0987,-3.71,61.0,2004-06-07,0.0758,148.026,4.0
71,NSG,72.0,598901.0,Trust Issues,2019-10-11--2019-10-18,0.0679,Trust Issues,afro dancehall,0.469,0.848,1.35e-05,201600.0,0.159,-4.556,56.0,2019-10-03,0.337,73.936,3.0
72,YNW Melly,73.0,597904.0,223's (feat. 9lokknine),2019-10-11--2019-10-18,0.0388,223's (feat. 9lokknine),melodic rap,0.932,0.547,0.0,176640.0,0.0924,-7.787,73.0,2019-08-09,0.333,94.998,4.0
73,Lady Gaga,74.0,590822.0,Shallow,2019-10-11--2019-10-18,0.371,A Star Is Born Soundtrack,dance pop,0.572,0.385,0.0,215733.0,0.231,-6.362,85.0,2018-10-05,0.0308,95.799,4.0
74,RAYE,75.0,584585.0,Love Me Again (with Jess Glynne),2019-10-11--2019-10-18,0.225,Love Me Again – Remix (with Jess Glynne),dance pop,0.701,0.524,0.0,189386.0,0.0764,-5.594,58.0,2019-08-30,0.0558,110.024,4.0
75,Summer Walker,76.0,567558.0,Playing Games (with Bryson Tiller) - Extended Version,2019-10-11--2019-10-18,0.603,Over It,pop,0.726,0.408,0.0,143226.0,0.225,-6.606,77.0,2019-10-04,0.0614,115.918,4.0
76,Post Malone,77.0,565179.0,Hollywood's Bleeding,2019-10-11--2019-10-18,0.331,Hollywood's Bleeding,dfw rap,0.405,0.646,0.0,156266.0,0.103,-3.206,78.0,2019-09-06,0.0476,130.218,4.0
77,Lil Tecca,78.0,556512.0,Love Me,2019-10-11--2019-10-18,0.632,We Love You Tecca,melodic rap,0.719,0.538,0.0,117013.0,0.135,-6.897,77.0,2019-08-30,0.28,204.132,4.0
78,Jax Jones,79.0,553473.0,Harder (with Bebe Rexha),2019-10-11--2019-10-18,0.0899,Snacks,dance pop,0.906,0.833,0.0,159760.0,0.154,-3.027,73.0,2019-07-12,0.0729,104.017,4.0
79,Post Malone,80.0,545302.0,Wow.,2019-10-11--2019-10-18,0.136,Hollywood's Bleeding,dfw rap,0.829,0.539,1.78e-06,149546.0,0.103,-7.359,83.0,2019-09-06,0.208,99.96,4.0
80,Dave,81.0,544782.0,Funky Friday,2019-10-11--2019-10-18,0.0783,Funky Friday,uk hip hop,0.975,0.535,0.0,182741.0,0.107,-7.227,68.0,2018-10-04,0.196,125.066,4.0
81,Steel Banglez,82.0,540468.0,Fashion Week (feat. AJ Tracey & MoStack),2019-10-11--2019-10-18,0.272,Fashion Week (feat. AJ Tracey & MoStack),afroswing,0.694,0.757,0.000161,201998.0,0.0995,-6.899,67.0,2019-03-21,0.167,97.167,4.0
82,NSG,83.0,539217.0,Options,2019-10-11--2019-10-18,0.387,Options,afro dancehall,0.836,0.621,9.16e-05,240081.0,0.104,-4.685,64.0,2018-11-30,0.0892,101.995,4.0
83,Lewis Capaldi,84.0,537740.0,Grace,2019-10-11--2019-10-18,0.435,Divinely Uninspired To A Hellish Extent,pop,0.722,0.565,0.0,185657.0,0.165,-5.848,71.0,2019-05-17,0.0335,104.483,4.0
84,Lil Tjay,85.0,531848.0,F.N,2019-10-11--2019-10-18,0.354,True 2 Myself,brooklyn drill,0.567,0.515,0.0,224000.0,0.078,-10.265,81.0,2019-10-11,0.247,120.1,1.0
85,George Ezra,86.0,520474.0,Shotgun,2019-10-11--2019-10-18,0.286,Staying at Tamara's,folk-pop,0.672,0.735,0.0,201287.0,0.242,-4.733,79.0,2018-03-23,0.0457,115.741,4.0
86,Fekky,87.0,520106.0,Attitude,2019-10-11--2019-10-18,0.0135,Attitude,grime,0.842,0.497,1.17e-06,175375.0,0.111,-7.672,19.0,2019-10-02,0.0753,142.024,4.0
87,JAY1,88.0,519769.0,4AM in Coventry,2019-10-11--2019-10-18,0.0996,4AM in Coventry,uk hip hop,0.897,0.478,0.0,145943.0,0.0662,-12.039,57.0,2019-09-18,0.565,147.921,4.0
88,Ed Sheeran,89.0,515206.0,Cross Me (feat. Chance the Rapper & PnB Rock),2019-10-11--2019-10-18,0.212,No.6 Collaborations Project,pop,0.746,0.787,0.0,206186.0,0.0669,-6.373,65.0,2019-07-12,0.12,95.005,4.0
89,Drake,90.0,512981.0,Behind Barz - Bonus,2019-10-11--2019-10-18,0.769,Behind Barz (Bonus),canadian hip hop,0.854,0.554,1.84e-06,163120.0,0.0749,-4.684,63.0,2019-09-13,0.172,142.069,4.0
90,Queen,91.0,506917.0,Bohemian Rhapsody - 2011 Mix,2019-10-11--2019-10-18,0.271,A Night At The Opera (2011 Remaster),classic rock,0.414,0.404,0.0,354320.0,0.3,-9.928,82.0,1975-11-21,0.0499,71.105,4.0
91,Young Thug,92.0,506738.0,The London (feat. J. Cole & Travis Scott),2019-10-11--2019-10-18,0.0249,So Much Fun,atl hip hop,0.784,0.517,1.44e-06,200186.0,0.155,-8.981,75.0,2019-08-16,0.209,97.991,4.0
92,Freya Ridings,93.0,506133.0,Castles,2019-10-11--2019-10-18,0.0046,Freya Ridings,pop,0.672,0.752,0.00047,211842.0,0.056,-4.866,69.0,2019-07-19,0.0843,116.945,4.0
93,Ed Sheeran,94.0,503049.0,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]",2019-10-11--2019-10-18,0.25,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]",pop,0.851,0.667,0.0,232150.0,0.19,-7.061,58.0,2019-08-23,0.268,138.011,4.0
94,AJ Tracey,95.0,501200.0,Cat Pack,2019-10-11--2019-10-18,0.00373,Cat Pack,grime,0.91,0.645,0.0,165372.0,0.0599,-9.377,43.0,2019-10-02,0.327,139.969,4.0
95,Ava Max,96.0,494587.0,Sweet but Psycho,2019-10-11--2019-10-18,0.0691,Sweet but Psycho,dance pop,0.719,0.704,0.0,187436.0,0.166,-4.724,74.0,2018-08-17,0.0476,133.002,4.0
96,benny blanco,97.0,486504.0,Eastside (with Halsey & Khalid),2019-10-11--2019-10-18,0.549,FRIENDS KEEP SECRETS,dance pop,0.632,0.686,0.0,170769.0,0.2,-7.665,74.0,2018-12-07,0.243,89.949,4.0
97,Hardy Caprio,98.0,482282.0,Guten Tag,2019-10-11--2019-10-18,0.309,Guten Tag,afroswing,0.808,0.574,0.0,166613.0,0.18,-8.527,65.0,2019-05-02,0.335,141.013,4.0
98,Mahalia,99.0,481538.0,Simmer (feat. Burna Boy),2019-10-11--2019-10-18,0.227,LOVE AND COMPROMISE,alternative r&b,0.693,0.744,0.0,167186.0,0.244,-3.94,60.0,2019-09-06,0.0496,91.722,4.0
99,Mabel,100.0,479487.0,Don't Call Me Up,2019-10-11--2019-10-18,0.296,Ivy To Roses (Mixtape),dance pop,0.674,0.881,3.01e-06,178480.0,0.0793,-2.853,81.0,2019-01-18,0.147,98.994,4.0
100,Travis Scott,101.0,465846.0,SICKO MODE,2019-10-11--2019-10-18,0.00513,ASTROWORLD,rap,0.834,0.73,0.0,312820.0,0.124,-3.714,88.0,2018-08-03,0.222,155.008,4.0
101,Khalid,102.0,465021.0,Right Back (feat. A Boogie Wit Da Hoodie),2019-10-11--2019-10-18,0.0933,Right Back (feat. A Boogie Wit Da Hoodie),alternative r&b,0.786,0.428,1.1e-06,254999.0,0.156,-10.011,69.0,2019-08-13,0.31,97.001,4.0
102,Ariana Grande,103.0,461519.0,7 rings,2019-10-11--2019-10-18,0.592,"thank u, next",dance pop,0.778,0.317,0.0,178626.0,0.0881,-10.732,86.0,2019-02-08,0.334,140.048,4.0
103,JAY1,104.0,461076.0,Mocking It,2019-10-11--2019-10-18,0.447,One Wave,uk hip hop,0.943,0.507,0.0,168853.0,0.106,-8.182,60.0,2019-07-05,0.393,104.036,4.0
104,Summer Walker,105.0,460398.0,Come Thru (with Usher),2019-10-11--2019-10-18,0.159,Over It,pop,0.679,0.728,0.0,181013.0,0.107,-3.092,75.0,2019-10-04,0.154,152.001,4.0
105,Marshmello,106.0,459867.0,Happier,2019-10-11--2019-10-18,0.191,Happier,brostep,0.687,0.792,0.0,214289.0,0.167,-2.749,85.0,2018-08-17,0.0452,100.015,4.0
106,Taylor Swift,107.0,458021.0,Lover,2019-10-11--2019-10-18,0.492,Lover,dance pop,0.359,0.543,1.58e-05,221306.0,0.118,-7.582,79.0,2019-08-23,0.0919,68.534,4.0
107,Tion Wayne,108.0,457526.0,2 ON 2 - Tion Wayne x JAY1,2019-10-11--2019-10-18,0.283,T Wayne’s World 3,london rap,0.645,0.68,0.0,161140.0,0.165,-8.121,55.0,2019-09-27,0.49,145.943,5.0
108,AJ Tracey,109.0,455140.0,Butterflies (feat. Not3s),2019-10-11--2019-10-18,0.259,AJ Tracey,grime,0.761,0.685,2.92e-06,224000.0,0.115,-9.796,64.0,2019-02-08,0.125,103.949,4.0
109,Jonas Brothers,110.0,451568.0,Sucker,2019-10-11--2019-10-18,0.0427,Happiness Begins,boy band,0.842,0.734,0.0,181026.0,0.106,-5.065,83.0,2019-06-07,0.0588,137.958,4.0
110,Solardo,111.0,448266.0,XTC,2019-10-11--2019-10-18,0.00761,XTC,deep groove house,0.703,0.929,0.00334,156630.0,0.219,-6.5,59.0,2019-07-19,0.0661,128.005,4.0
111,Stormzy,112.0,445868.0,Sounds of the Skeng,2019-10-11--2019-10-18,0.0263,Sounds of the Skeng,grime,0.491,0.805,3.9e-05,214130.0,0.109,-3.226,56.0,2019-09-06,0.299,174.63,5.0
112,Post Malone,113.0,444515.0,Enemies (feat. DaBaby),2019-10-11--2019-10-18,0.0588,Hollywood's Bleeding,dfw rap,0.542,0.674,0.0,196760.0,0.0955,-4.169,78.0,2019-09-06,0.21,76.388,4.0
113,Taylor Swift,114.0,437305.0,You Need To Calm Down,2019-10-11--2019-10-18,0.00929,Lover,dance pop,0.771,0.671,0.0,171360.0,0.0637,-5.617,81.0,2019-08-23,0.0553,85.026,4.0
114,Billie Eilish,115.0,436499.0,when the party's over,2019-10-11--2019-10-18,0.978,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",electropop,0.367,0.111,3.97e-05,196077.0,0.0897,-14.084,85.0,2019-03-29,0.0972,82.642,4.0
115,Dave,116.0,436325.0,Disaster (feat. J Hus),2019-10-11--2019-10-18,0.619,PSYCHODRAMA,uk hip hop,0.727,0.761,0.0,240160.0,0.077,-5.686,65.0,2019-03-08,0.436,91.108,4.0
116,Billie Eilish,117.0,431285.0,lovely (with Khalid),2019-10-11--2019-10-18,0.934,lovely (with Khalid),electropop,0.351,0.296,0.0,200185.0,0.095,-10.109,88.0,2018-04-19,0.0333,115.284,4.0
117,Zedd,118.0,430450.0,Good Thing (with Kehlani),2019-10-11--2019-10-18,0.399,Good Thing (with Kehlani),complextro,0.693,0.564,0.0,210901.0,0.0409,-3.857,75.0,2019-09-27,0.0378,185.913,3.0
118,Miley Cyrus,119.0,428847.0,Slide Away,2019-10-11--2019-10-18,0.17,Slide Away,dance pop,0.53,0.538,2.83e-06,233654.0,0.248,-6.672,77.0,2019-08-16,0.0335,148.051,4.0
119,James Arthur,120.0,427875.0,Say You Won't Let Go,2019-10-11--2019-10-18,0.695,Back from the Edge,pop,0.358,0.557,0.0,211466.0,0.0902,-7.398,85.0,2016-10-28,0.059,85.043,4.0
120,Katy Perry,121.0,427641.0,Never Really Over,2019-10-11--2019-10-18,0.194,Never Really Over,dance pop,0.77,0.882,0.0,223523.0,0.316,-4.792,79.0,2019-05-31,0.0602,99.991,4.0
121,Post Malone,122.0,425212.0,rockstar (feat. 21 Savage),2019-10-11--2019-10-18,0.124,beerbongs & bentleys,dfw rap,0.585,0.52,7.01e-05,218146.0,0.131,-6.136,85.0,2018-04-27,0.0712,159.801,4.0
